n_participants,mode,prior_source,model_level,prior_regime,threshold_mode,draw_index_english,draw_index_turkish,draw_index_norwegian,iter,warmup,chains,seed
80,assurance,pilot,L5_cross_maximal,primary,broad,4483,594,7900,3000,1000,4,932000
80,assurance,pilot,L5_cross_maximal,primary,broad,1880,2743,4441,3000,1000,4,932010
80,assurance,pilot,L5_cross_maximal,primary,broad,5272,7627,2084,3000,1000,4,932020
80,assurance,pilot,L5_cross_maximal,primary,broad,530,5470,3344,3000,1000,4,932030
80,assurance,pilot,L5_cross_maximal,primary,broad,4036,5219,1736,3000,1000,4,932040
80,assurance,pilot,L5_cross_maximal,primary,broad,4764,2496,6767,3000,1000,4,932050
80,assurance,pilot,L5_cross_maximal,primary,broad,872,589,40,3000,1000,4,932060
80,assurance,pilot,L5_cross_maximal,primary,broad,1672,5476,313,3000,1000,4,932070
80,assurance,pilot,L5_cross_maximal,primary,broad,612,1048,5821,3000,1000,4,932080
80,assurance,pilot,L5_cross_maximal,primary,broad,7536,1107,4122,3000,1000,4,932090
80,assurance,pilot,L5_cross_maximal,primary,broad,2495,6568,5196,3000,1000,4,932100
80,assurance,pilot,L5_cross_maximal,primary,broad,2656,6624,2275,3000,1000,4,932110
80,assurance,pilot,L5_cross_maximal,primary,broad,1773,3802,3006,3000,1000,4,932120
80,assurance,pilot,L5_cross_maximal,primary,broad,4113,3175,1548,3000,1000,4,932130
80,assurance,pilot,L5_cross_maximal,primary,broad,2785,7138,2455,3000,1000,4,932140
80,assurance,pilot,L5_cross_maximal,primary,broad,3009,4699,6179,3000,1000,4,932150
80,assurance,pilot,L5_cross_maximal,primary,broad,1979,6640,7692,3000,1000,4,932160
80,assurance,pilot,L5_cross_maximal,primary,broad,4280,1735,6083,3000,1000,4,932170
80,assurance,pilot,L5_cross_maximal,primary,broad,3803,7574,5948,3000,1000,4,932180
80,assurance,pilot,L5_cross_maximal,primary,broad,6312,3999,1808,3000,1000,4,932190
80,assurance,pilot,L5_cross_maximal,primary,broad,6879,636,2831,3000,1000,4,932200
80,assurance,pilot,L5_cross_maximal,primary,broad,5890,7348,2019,3000,1000,4,932210
80,assurance,pilot,L5_cross_maximal,primary,broad,6823,3284,2369,3000,1000,4,932220
80,assurance,pilot,L5_cross_maximal,primary,broad,3226,4462,518,3000,1000,4,932230
80,assurance,pilot,L5_cross_maximal,primary,broad,5449,5811,6775,3000,1000,4,932240
80,assurance,pilot,L5_cross_maximal,primary,broad,861,2229,117,3000,1000,4,932250
80,assurance,pilot,L5_cross_maximal,primary,broad,2138,2177,5312,3000,1000,4,932260
80,assurance,pilot,L5_cross_maximal,primary,broad,3895,969,1144,3000,1000,4,932270
80,assurance,pilot,L5_cross_maximal,primary,broad,4476,5649,2147,3000,1000,4,932280
80,assurance,pilot,L5_cross_maximal,primary,broad,1448,4470,6591,3000,1000,4,932290
