"invited","completion","Y","E_K","p_below_Y","power_given_proceed"
10,0.5,6,5,0.623046875,0.600266839378238
10,0.5,8,5,0.9453125,0.647107142857143
10,0.5,10,5,0.9990234375,0.698
10,0.6,6,6,0.3668967424,0.60968376370711
10,0.6,8,6,0.8327102464,0.649927710843374
10,0.6,10,6,0.9939533824,0.698
10,0.7,6,7,0.1502683326,0.623600407055631
10,0.7,8,7,0.6172172136,0.654219879518072
10,0.7,10,7,0.9717524751,0.698
10,0.8,6,8,0.0327934976,0.643626626192541
10,0.8,8,8,0.3222004736,0.661316831683168
10,0.8,10,8,0.8926258176,0.698
12,0.5,6,6,0.38720703125,0.614107868525896
12,0.5,8,6,0.80615234375,0.654905226700252
12,0.5,10,6,0.980712890625,0.701389240506329
12,0.6,6,7.2,0.158212292608,0.631444081152696
12,0.6,8,7.2,0.56182177792,0.662033808647654
12,0.6,10,7.2,0.91655667712,0.702989130434783
12,0.7,6,8.4,0.038600843058,0.655252411139684
12,0.7,8,8.4,0.27634453047,0.672966531904724
12,0.7,10,8.4,0.747184652145,0.70547905027933
12,0.8,6,9.6,0.00390313164799999,0.683792797951897
12,0.8,8,9.6,0.0725554995199999,0.68965991316932
12,0.8,10,9.6,0.44165425152,0.709769230769231
14,0.5,6,7,0.21197509765625,0.631031407327086
14,0.5,8,7,0.604736328125,0.6644830142063
14,0.5,10,7,0.91021728515625,0.705594833446635
14,0.6,6,8.4,0.05831894499328,0.65680625824991
14,0.6,8,8.4,0.30754780217344,0.677147898688077
14,0.6,10,8.4,0.7207430127616,0.709548544950632
14,0.7,6,9.8,0.00828852291297002,0.687458927943612
14,0.7,8,9.8,0.0932818911627601,0.695363103111264
14,0.7,10,9.8,0.41579881378065,0.715797935352852
14,0.8,6,11.2,0.00038192955392,0.716965056154656
14,0.8,8,11.2,0.01160991358976,0.718226624371272
14,0.8,10,11.2,0.1298396258304,0.725903257650543
16,0.5,6,8,0.105056762695313,0.650313485703569
16,0.5,8,8,0.401809692382813,0.675769309746703
16,0.5,10,8,0.772750854492188,0.710631454374538
16,0.6,6,9.6,0.0191419176189952,0.68272589622887
16,0.6,8,9.6,0.142269717938176,0.694345150732665
16,0.6,10,9.6,0.472825886408704,0.717582682701237
16,0.7,6,11.2,0.0015663201513957,0.714993347229225
16,0.7,8,11.2,0.0256735300549725,0.717730076650009
16,0.7,10,11.2,0.175313369306876,0.728163693695206
16,0.8,6,12.8,3.26144950271999e-05,0.740732661027334
16,0.8,8,12.8,0.001475938254848,0.740926227272923
16,0.8,10,12.8,0.026657331511296,0.742935950296526
